county.FIPS,state,female,above_65,median_house_income,unemployment,smoking,flu_vaccination,some_college,social_association,traffic,black,hispanic,RUCC,poverty,population.density,avg_obs_ill_0316_0322,avg_exp_ill_0316_0322,avg_exp_ill_0330_0405,bl_hisp,avg_social_distance_score
29043,MO,0.50949036,0.157168642,58057,0.025768587,0.185155986,0.51,0.702846181,8.895964042,65.42954493,0.007645172,0.030201304,2,8.6,157.4602328,4.606580617,4.927580329,3.053686432,0.037846476,0.2
1045,AL,0.50929406,0.1689272,45309,0.042047714,0.200573949,0.41,0.576495132,10.56352334,41.48575449,0.204510172,0.066386143,4,16.2,87.62719415,5.010095278,2.112363774,1.658657816,0.270896315,0
1045,AL,0.50929406,0.1689272,45309,0.042047714,0.200573949,0.41,0.576495132,10.56352334,41.48575449,0.204510172,0.066386143,4,16.2,87.62719415,5.010095278,2.112363774,1.658657816,0.270896315,0
42063,PA,0.499118354,0.195027278,47999,0.049147779,0.191399288,0.43,0.579072052,16.1265641,126.224107,0.025703838,0.013325286,4,15.5,101.65653,4.388541402,5.583934086,4.601885333,0.039029124,0.428571429
1079,AL,0.513092818,0.186637133,43909,0.041885193,0.201876462,0.4,0.48394783,13.61614572,30.07263451,0.108322966,0.022271445,3,19.3,47.66896392,4.250360269,2.954871278,2.407525727,0.130594411,0.342857143
51179,VA,0.495705522,0.104521206,108421,0.029535985,0.14718886,0.44,0.729524006,5.727962686,208.9010917,0.18293545,0.135769539,1,5.4,568.4190958,4.145555968,3.398680812,2.708544412,0.318704988,0.3
1113,AL,0.519824856,0.143299701,39104,0.040205448,0.217913198,0.4,0.614674412,9.992111491,222.4574631,0.44756927,0.05616033,2,21.7,90.4030321,4.398014068,2.169362899,1.694211479,0.5037296,0.2
51085,VA,0.510663098,0.177472748,91028,0.026093512,0.130102671,0.56,0.747479618,12.36747449,121.307818,0.091468589,0.031527709,1,5.2,230.0038417,4.063491243,3.968306079,2.953365468,0.122996298,0.2
40081,OK,0.502061856,0.18327606,48039,0.035042628,0.175844265,0.5,0.503199386,9.95959251,11.31043341,0.018585338,0.035366552,1,14.7,36.62357846,3.151158431,3.473378533,2.326441022,0.05395189,0
53037,WA,0.495629592,0.160290516,55624,0.052792689,0.142589307,0.36,0.710050615,9.089925333,85.68698462,0.010493202,0.089435014,4,15.8,20.86607147,3.826342094,2.969600612,1.98175737,0.099928216,0.442857143
26121,MI,0.503191465,0.170080881,49960,0.04548826,0.197675499,0.52,0.590661134,10.76612184,225.4582991,0.138327534,0.058074291,3,15.7,347.6534802,5.513069918,3.405938671,2.624759111,0.196401825,0.342857143
5009,AR,0.507924226,0.206590181,44482,0.035380928,0.199029944,0.46,0.593923933,10.70062331,69.00429058,0.003628602,0.026120598,7,14.8,63.419345,5.071059284,5.288502836,3.07778377,0.0297492,0.385714286
19179,IA,0.501803721,0.180002841,48226,0.034196774,0.198535942,0.47,0.614884477,14.26777765,153.986287,0.037182218,0.109302656,5,14.7,80.97862585,4.406735076,4.740170561,3.2525702,0.146484874,0.342857143
36077,NY,0.514904015,0.211836181,54321,0.043485978,0.155059314,0.51,0.637733205,12.14763537,161.3080844,0.020385278,0.037958794,7,12.5,59.39203354,5.211633506,3.71382654,2.98040553,0.058344073,0.3
5057,AR,0.517869463,0.179614553,38682,0.035627776,0.221766582,0.41,0.545851528,10.52101917,47.7321499,0.296352514,0.131686675,6,20.6,29.59643721,4.627556426,4.530428439,3.116442499,0.428039189,0
5057,AR,0.517869463,0.179614553,38682,0.035627776,0.221766582,0.41,0.545851528,10.52101917,47.7321499,0.296352514,0.131686675,6,20.6,29.59643721,4.627556426,4.530428439,3.116442499,0.428039189,0
42031,PA,0.510456691,0.196059723,46284,0.047273982,0.194082746,0.42,0.568565028,16.12148318,97.05609217,0.012377833,0.009799118,6,15.3,63.97483481,5.284593786,5.419248313,4.594697947,0.022176952,0.1
29223,MO,0.508154245,0.235177564,33703,0.048478016,0.235635654,0.14,0.471884499,9.777376655,19.68106139,0.00762079,0.01882335,9,23.3,16.95645302,5.577948623,6.001347065,3.843253321,0.02644414,0
5099,AR,0.504443911,0.206341581,37626,0.035427623,0.212858227,0.39,0.519495413,9.607301549,21.1188267,0.306870046,0.042157098,7,21.3,13.35620873,4.842998054,4.232360383,2.945865552,0.349027144,0
5135,AR,0.506506968,0.260854543,36032,0.047602622,0.210888798,0.36,0.487760098,15.52348646,37.3227364,0.008292065,0.0234366,7,20.7,28.85646218,5.350433537,5.434824082,3.344380869,0.031728665,0.1
6049,CA,0.500284835,0.268656716,45227,0.075495439,0.138244584,0.17,0.485412475,0,13.34498124,0.010254073,0.142189814,6,19.1,2.256640895,4.028967539,4.599727522,3.163386815,0.152443887,0
21179,KY,0.506553837,0.156485137,55602,0.043371054,0.185127159,0.49,0.604209584,8.98334794,18.22076341,0.050075244,0.022180541,6,12.2,110.7350722,5.608506593,4.950418061,3.317998357,0.072255785,0.342857143
18165,IN,0.503133277,0.200400543,49287,0.05509834,0.189332145,0.43,0.56392245,10.31925185,68.84236572,0.004328445,0.012985335,3,15.2,60.33167238,4.260144544,4.627219807,3.104917953,0.01731378,0.2
6047,CA,0.495452478,0.112259567,56169,0.082957854,0.141296065,0.41,0.476378999,4.36420181,207.8535067,0.029763616,0.602103616,2,21.2,143.5061009,4.17521748,4.804776608,3.415941148,0.631867232,0.485714286
