county.FIPS,state,female,above_65,median_house_income,unemployment,smoking,flu_vaccination,some_college,social_association,traffic,black,hispanic,RUCC,poverty,population.density,avg_obs_ill_0316_0322,avg_exp_ill_0316_0322,avg_exp_ill_0330_0405,bl_hisp,avg_social_distance_score
1003,AL,0.515383769,0.204433498,57588,0.036153822,0.174890326,0.44,0.673716198,10.20561732,86.99742988,0.087839759,0.046467788,3,9.8,140.4181711,4.846129228,2.512027555,2.029385476,0.134307547,0.914285714
1015,AL,0.519465859,0.17717476,45400,0.046528322,0.206125604,0.38,0.592439886,14.46900495,109.8991631,0.208502148,0.039106732,3,19.5,187.507221,4.506632161,2.152993204,1.657244167,0.24760888,0.814285714
1015,AL,0.519465859,0.17717476,45400,0.046528322,0.206125604,0.38,0.592439886,14.46900495,109.8991631,0.208502148,0.039106732,3,19.5,187.507221,4.506632161,2.152993204,1.657244167,0.24760888,0.814285714
1077,AL,0.520203059,0.200926537,48707,0.041906932,0.166560043,0.49,0.593270003,14.80472887,108.4593976,0.098931668,0.028618745,3,14,138.8782387,4.344817909,3.739524616,2.915068439,0.127550413,1.3
40087,OK,0.503713893,0.154908091,65831,0.027646211,0.15289612,0.5,0.631674942,11.43786697,37.51485808,0.008428161,0.082205827,1,9.1,70.9199229,3.58955471,3.378444011,2.407183277,0.090633988,1.3
1089,AL,0.511419599,0.15040148,63755,0.034603231,0.168201727,0.45,0.731953434,10.80194767,199.0231982,0.244369323,0.050687686,2,11.9,465.2116419,4.544145887,2.621848278,2.155554816,0.295057009,1
13095,GA,0.541137402,0.153732341,38806,0.051249967,0.216075532,0.4,0.590166095,12.51368685,221.8274192,0.702552525,0.029284438,3,29.5,267.5956068,4.594409511,2.095524443,1.895872875,0.731836963,1.1
1117,AL,0.516612813,0.153388624,75663,0.028514231,0.155611575,0.44,0.764675473,11.14206128,113.398369,0.128910977,0.05778672,1,8,277.3521206,4.17662878,2.234144774,1.848151199,0.186697696,0.914285714
1127,AL,0.512799987,0.193231938,45434,0.042495623,0.226809846,0.4,0.529078947,14.67420151,27.61099578,0.060633172,0.025647063,1,17.9,80.28539289,4.169466219,2.70493676,2.329849064,0.086280234,0.585714286
4005,AZ,0.50592913,0.12498775,60187,0.054914832,0.15990186,0.39,0.700241132,9.376598284,106.3763882,0.012509275,0.14272614,3,15.9,7.705937357,3.943854423,2.31974669,1.930908377,0.155235415,1.2
5007,AR,0.502648492,0.13410098,68978,0.028808666,0.165131567,0.51,0.618827737,8.561772437,108.4527881,0.017893826,0.168648756,2,8.6,329.4243297,4.663902872,4.447796265,2.627287453,0.186542581,1.014285714
50025,VT,0.510735335,0.22820189,54441,0.028529789,0.149062248,0.37,0.606553843,14.22939653,92.60272583,0.013261297,0.024441014,7,12,53.76475532,4.239231315,3.511706574,3.077294347,0.037702311,1.257142857
5031,AR,0.51426887,0.138451335,45615,0.030635625,0.207629208,0.49,0.625650955,8.402184568,125.1639964,0.160292194,0.051806408,3,17.9,156.0102374,5.386589125,6.09424735,4.061502211,0.212098602,1.1
5051,AR,0.519333562,0.238336325,43610,0.040468662,0.194158447,0.54,0.613721376,11.04826775,188.3978228,0.085311737,0.058605805,3,20.4,146.6346012,4.897202701,4.701266262,2.974603345,0.143917542,1.242857143
5061,AR,0.519001574,0.179446818,40199,0.034616684,0.21855605,0.45,0.543802726,13.3550972,41.98022184,0.205306949,0.125702721,6,17.3,22.4313992,4.779336978,4.119424888,2.563201423,0.331009669,0.714285714
5061,AR,0.519001574,0.179446818,40199,0.034616684,0.21855605,0.45,0.543802726,13.3550972,41.98022184,0.205306949,0.125702721,6,17.3,22.4313992,4.779336978,4.119424888,2.563201423,0.331009669,0.714285714
5063,AR,0.512421042,0.175248155,45596,0.040808778,0.19872211,0.44,0.585505966,13.86518771,70.28587928,0.02202877,0.065422793,7,14.5,49.51240264,5.276961844,5.777773299,3.713636957,0.087451563,0.814285714
5097,AR,0.505378754,0.270170327,38318,0.048089592,0.184704266,0.29,0.453883495,5.606009642,23.13740349,0.004594352,0.045607351,8,18.8,11.52228548,4.744033573,4.313005588,2.671154694,0.050201703,0.714285714
21001,KY,0.505178246,0.185844392,37392,0.050648634,0.226199734,0.27,0.506130002,4.618937644,47.19897358,0.028935727,0.020140515,7,23.8,47.37958942,5.723447965,3.880894274,2.95131614,0.049076243,0.528571429
21087,KY,0.507104715,0.206353516,36782,0.042947203,0.211090298,0.44,0.483691329,12.65250791,17.45848063,0.020092316,0.018553715,8,18,38.25123239,5.916915177,4.028879664,3.016801364,0.038646031,0.857142857
6033,CA,0.500792147,0.227315088,45086,0.052273664,0.144012009,0.27,0.494992324,6.381720263,34.01477214,0.017598086,0.213056444,4,18.4,51.24397116,3.884779076,4.554752375,3.164405469,0.230654531,1.3
6043,CA,0.490355446,0.279434491,51402,0.052981861,0.117452632,0.27,0.603029437,7.968581023,9.02701283,0.011562017,0.116478736,8,14.9,11.87380075,4.241551424,4.742729124,3.319050178,0.128040753,1.142857143
6045,CA,0.504565897,0.221057918,51386,0.039380587,0.129054138,0.28,0.571933493,7.839305597,96.4246638,0.007682122,0.256203913,4,17.5,24.74061272,3.771625315,4.518376272,3.100107124,0.263886035,0.957142857
6053,CA,0.490840094,0.135908667,69665,0.062693868,0.122499909,0.43,0.468974828,5.092405465,221.0966921,0.025544429,0.591312093,2,13.3,132.3114674,4.149031033,5.095067135,3.639393335,0.616856522,1.585714286
6033,CA,0.500792147,0.227315088,45086,0.052273664,0.144012009,0.27,0.494992324,6.381720263,34.01477214,0.017598086,0.213056444,4,18.4,51.24397116,3.884779076,4.554752375,3.164405469,0.230654531,1.3
6053,CA,0.490840094,0.135908667,69665,0.062693868,0.122499909,0.43,0.468974828,5.092405465,221.0966921,0.025544429,0.591312093,2,13.3,132.3114674,4.149031033,5.095067135,3.639393335,0.616856522,1.585714286
6081,CA,0.50580148,0.161031519,122930,0.02199945,0.086133573,0.48,0.779619423,5.794583944,1478.640874,0.022602967,0.243143676,1,6.8,1709.535916,4.203996246,4.765502872,3.405149682,0.265746643,2.5
6105,CA,0.486078979,0.272836059,40680,0.056936478,0.14700217,0.36,0.595555556,5.507907782,19.28314363,0.005105704,0.075309134,8,21.6,3.864118896,3.721342494,4.504177651,3.028759589,0.080414838,0.857142857
8007,CO,0.498873956,0.260443153,53337,0.034064665,0.134760711,0.32,0.674872997,12.01652272,45.39936785,0.006029786,0.182419179,7,11.2,10.39046646,3.260157884,2.3318121,1.719578104,0.188448965,1.142857143
20029,KS,0.503952343,0.215946844,44467,0.035147992,0.178390372,0.32,0.64923402,31.14225336,27.44705941,0.008019246,0.032076985,7,16,12.28227137,3.980815595,3.593599225,2.335630003,0.040096231,0.857142857
8015,CO,0.471613322,0.253857293,56168,0.026885043,0.134888729,0.47,0.626855895,15.78572156,113.8626788,0.01617816,0.101263295,7,10.9,20.08683639,4.01824766,2.568579114,1.742859461,0.117441454,1.428571429
8047,CO,0.475249142,0.169090018,72949,0.025462343,0.127421288,0.46,0.767557489,4.989190088,5.868008558,0.009965692,0.073027283,1,6.7,41.64776518,4.031796568,2.306873489,1.525276075,0.082992975,2.528571429
8047,CO,0.475249142,0.169090018,72949,0.025462343,0.127421288,0.46,0.767557489,4.989190088,5.868008558,0.009965692,0.073027283,1,6.7,41.64776518,4.031796568,2.306873489,1.525276075,0.082992975,2.528571429
8049,CO,0.464154589,0.175974235,69214,0.026822628,0.141686445,0.46,0.640788513,15.01207493,88.26417629,0.008760064,0.090499195,7,7.9,8.521770214,4.169485744,2.344616506,1.587167523,0.099259259,1.714285714
20165,KS,0.486582606,0.248302619,44121,0.027108434,0.153566083,0.36,0.669449082,22.55881405,44.86031029,0.005172971,0.042030391,9,13.8,4.229826126,3.694859184,3.44526078,2.004528361,0.047203362,1.142857143
8085,CO,0.506917137,0.233003269,52576,0.036689303,0.154311813,0.46,0.560961583,9.333716255,92.73208184,0.004500877,0.207064007,4,11.6,19.0824296,3.880269071,2.249183696,1.721893079,0.211564884,0.957142857
